scheduleId,name,type,subType,condition,proficiency,addProficiency,description,attributeChange
math_olympus_1,奥数题 1,selfStudy,math,TRUE,math_olympus_1,10,奥数题 1,"pressure,29"
math_olympus_2,奥数题 2,selfStudy,math,TRUE,math_olympus_2,10,奥数题 2,"pressure,30"
math_olympus_3,奥数题 3,selfStudy,math,TRUE,math_olympus_3,10,奥数题 3,"pressure,31"
math_exam_1,小学应试数学,selfStudy,math,TRUE,math_exam_1,10,小学应试数学,"pressure,32"
math_exam_2,初中应试数学,selfStudy,math,TRUE,math_exam_2,10,初中应试数学,"pressure,33"
math_exam_3,高中应试数学,selfStudy,math,TRUE,math_exam_3,10,高中应试数学,"pressure,34"
math_advanced,数学分析,selfStudy,math,TRUE,math_advanced,10,数学分析,"pressure,35"
math_advanced_geo,解析几何,selfStudy,math,TRUE,math_advanced_geo,10,解析几何,"pressure,36"
math_advanced_algebra,线性代数,selfStudy,math,TRUE,math_advanced_algebra,10,线性代数,"pressure,37"
math_calculus,微积分,selfStudy,math,TRUE,math_calculus,10,微积分,"pressure,38"
math_number_theory,数论,selfStudy,math,TRUE,math_number_theory,10,数论,"pressure,39"
english_phonetic,英语音标,selfStudy,english,TRUE,english_phonetic,10,英语音标,"pressure,40"
english_letter,英语字母,selfStudy,english,TRUE,english_letter,10,英语字母,"pressure,41"
english_words_1,小学英语单词,selfStudy,english,TRUE,english_words_1,10,小学英语单词,"pressure,42"
english_words_2,初中英语单词,selfStudy,english,TRUE,english_words_2,10,初中英语单词,"pressure,43"
english_words_3,高中英语单词,selfStudy,english,TRUE,english_words_3,10,高中英语单词,"pressure,44"
english_hearing_1,小学英语听力,selfStudy,english,TRUE,english_hearing_1,10,小学英语听力,"pressure,45"
english_hearing_2,初中英语听力,selfStudy,english,TRUE,english_hearing_2,10,初中英语听力,"pressure,46"
english_hearing_3,高中英语听力,selfStudy,english,TRUE,english_hearing_3,10,高中英语听力,"pressure,47"
english_reading_1,小学英语阅读,selfStudy,english,TRUE,english_reading_1,10,小学英语阅读,"pressure,48"
english_reading_2,初中英语阅读,selfStudy,english,TRUE,english_reading_2,10,初中英语阅读,"pressure,49"
english_reading_3,高中英语阅读,selfStudy,english,TRUE,english_reading_3,10,高中英语阅读,"pressure,50"
english_writing_1,小学英语写作,selfStudy,english,TRUE,english_writing_1,10,小学英语写作,"pressure,51"
english_writing_2,初中英语写作,selfStudy,english,TRUE,english_writing_2,10,初中英语写作,"pressure,52"
english_writing_3,高中英语写作,selfStudy,english,TRUE,english_writing_3,10,高中英语写作,"pressure,53"
english_speaking_1,小学英语口语,selfStudy,english,TRUE,english_speaking_1,10,小学英语口语,"pressure,54"
english_speaking_2,初中英语口语,selfStudy,english,TRUE,english_speaking_2,10,初中英语口语,"pressure,55"
english_speaking_3,高中英语口语,selfStudy,english,TRUE,english_speaking_3,10,高中英语口语,"pressure,56"
english_grammer_1,小学英语语法,selfStudy,english,TRUE,english_grammer_1,10,小学英语语法,"pressure,57"
english_grammer_2,初中英语语法,selfStudy,english,TRUE,english_grammer_2,10,初中英语语法,"pressure,58"
english_grammer_3,高中英语语法,selfStudy,english,TRUE,english_grammer_3,10,高中英语语法,"pressure,59"
english_words_tofel,托福英语单词,selfStudy,english,TRUE,english_words_tofel,10,托福英语单词,"pressure,60"
english_reading_tofel,托福英语阅读,selfStudy,english,TRUE,english_reading_tofel,10,托福英语阅读,"pressure,61"
english_hearing_tofel,托福英语听力,selfStudy,english,TRUE,english_hearing_tofel,10,托福英语听力,"pressure,62"
english_speaking_tofel,托福英语口语,selfStudy,english,TRUE,english_speaking_tofel,10,托福英语口语,"pressure,63"
english_writing_tofel,托福英语写作,selfStudy,english,TRUE,english_writing_tofel,10,托福英语写作,"pressure,64"
english_examp_tofel,托福应试英语,selfStudy,english,TRUE,english_examp_tofel,10,托福应试英语,"pressure,65"
english_speech,英语演讲,selfStudy,english,TRUE,english_speech,10,英语演讲,"pressure,66"
english_exam_1,小学应试英语,selfStudy,english,TRUE,english_exam_1,10,小学应试英语,"pressure,67"
english_exam_2,初中应试英语,selfStudy,english,TRUE,english_exam_2,10,初中应试英语,"pressure,68"
english_exam_3,高中应试英语,selfStudy,english,TRUE,english_exam_3,10,高中应试英语,"pressure,69"
history_chinese_modern_1,中国近现代史1,selfStudy,history,TRUE,history_chinese_modern_1,10,中国近现代史1,"pressure,70"
history_chinese_modern_2,中国近现代史2,selfStudy,history,TRUE,history_chinese_modern_2,10,中国近现代史2,"pressure,71"
history_chinese_modern_3,中国近现代史3,selfStudy,history,TRUE,history_chinese_modern_3,10,中国近现代史3,"pressure,72"
history_chinese_ancient_1,中国古代史1,selfStudy,history,TRUE,history_chinese_ancient_1,10,中国古代史1,"pressure,73"
history_chinese_ancient_2,中国古代史2,selfStudy,history,TRUE,history_chinese_ancient_2,10,中国古代史2,"pressure,74"
history_chinese_ancient_3,中国古代史3,selfStudy,history,TRUE,history_chinese_ancient_3,10,中国古代史3,"pressure,75"
history_world_1,世界历史1,selfStudy,history,TRUE,history_world_1,10,世界历史1,"pressure,76"
history_world_2,世界历史2,selfStudy,history,TRUE,history_world_2,10,世界历史2,"pressure,77"
history_world_3,世界历史3,selfStudy,history,TRUE,history_world_3,10,世界历史3,"pressure,78"
geography_chinese_1,中国地理1,selfStudy,geology,TRUE,geography_chinese_1,10,中国地理1,"pressure,79"
geography_chinese_2,中国地理2,selfStudy,geology,TRUE,geography_chinese_2,10,中国地理2,"pressure,80"
geography_chinese_3,中国地理3,selfStudy,geology,TRUE,geography_chinese_3,10,中国地理3,"pressure,81"
geography_world_1,世界地理1,selfStudy,geology,TRUE,geography_world_1,10,世界地理1,"pressure,82"
geography_world_2,世界地理2,selfStudy,geology,TRUE,geography_world_2,10,世界地理2,"pressure,83"
geography_world_3,世界地理3,selfStudy,geology,TRUE,geography_world_3,10,世界地理3,"pressure,84"
geography_astronomy,天文学,selfStudy,geology,TRUE,geography_astronomy,10,天文学,"pressure,85"
geography_meteorology,气象学,selfStudy,geology,TRUE,geography_meteorology,10,气象学,"pressure,86"
geography_geology,地质学,selfStudy,geology,TRUE,geography_geology,10,地质学,"pressure,87"
moral_1,思想品德,selfStudy,politics,TRUE,moral_1,10,思想品德,"pressure,88"
moral_2,思想政治,selfStudy,politics,TRUE,moral_2,10,思想政治,"pressure,89"
moral_law_1,法律基础,selfStudy,politics,TRUE,moral_law_1,10,法律基础,"pressure,90"
political_materialism,唯物论,selfStudy,politics,TRUE,political_materialism,10,唯物论,"pressure,91"
political_marxism,马克思主义,selfStudy,politics,TRUE,political_marxism,10,马克思主义,"pressure,92"
political_mao_thought,毛泽东思想,selfStudy,politics,TRUE,political_mao_thought,10,毛泽东思想,"pressure,93"
political_deng_theory,邓小平理论,selfStudy,politics,TRUE,political_deng_theory,10,邓小平理论,"pressure,94"
political_jiang_presentatives,江泽民三个代表,selfStudy,politics,TRUE,political_jiang_presentatives,10,江泽民三个代表,"pressure,95"
political_economics_1,经济学常识,selfStudy,economy,TRUE,political_economics_1,10,经济学常识,"pressure,96"
political_economics_2,经济学基础,selfStudy,economy,TRUE,political_economics_2,10,经济学基础,"pressure,97"
political_economics_3,经济学理论,selfStudy,economy,TRUE,political_economics_3,10,经济学理论,"pressure,98"
science_1,自然常识,selfStudy,physics,TRUE,science_1,10,自然常识,"pressure,99"
science_physics,物理学常识,selfStudy,physics,TRUE,science_physics,10,物理学常识,"pressure,100"
science_chemistry,化学常识,selfStudy,chemistry,TRUE,science_chemistry,10,化学常识,"pressure,101"
science_biology,生物常识,selfStudy,biology,TRUE,science_biology,10,生物常识,"pressure,102"
science_electric,电学常识,selfStudy,physics,TRUE,science_electric,10,电学常识,"pressure,103"
science_experiment,自然实验,selfStudy,physics,TRUE,science_experiment,10,自然实验,"pressure,104"
science_physics_2,初中物理,selfStudy,physics,TRUE,science_physics_2,10,初中物理,"pressure,105"
science_physics_3,高中物理,selfStudy,physics,TRUE,science_physics_3,10,高中物理,"pressure,106"
science_physics_olympus_2,初中物理竞赛,selfStudy,physics,TRUE,science_physics_olympus_2,10,初中物理竞赛,"pressure,107"
science_physics_olympus_3,高中物理竞赛,selfStudy,physics,TRUE,science_physics_olympus_3,10,高中物理竞赛,"pressure,108"
science_physics_exam_2,初中应试物理,selfStudy,physics,TRUE,science_physics_exam_2,10,初中应试物理,"pressure,109"
science_physics_exam_3,高中应试物理,selfStudy,physics,TRUE,science_physics_exam_3,10,高中应试物理,"pressure,110"
science_chemistry_2,初中化学,selfStudy,chemistry,TRUE,science_chemistry_2,10,初中化学,"pressure,111"
science_chemistry_3,高中化学,selfStudy,chemistry,TRUE,science_chemistry_3,10,高中化学,"pressure,112"
science_chemistry_olympus_2,初中化学竞赛,selfStudy,chemistry,TRUE,science_chemistry_olympus_2,10,初中化学竞赛,"pressure,113"
science_chemistry_olympus_3,高中化学竞赛,selfStudy,chemistry,TRUE,science_chemistry_olympus_3,10,高中化学竞赛,"pressure,114"
science_chemistry_exam_2,初中应试化学,selfStudy,chemistry,TRUE,science_chemistry_exam_2,10,初中应试化学,"pressure,115"
science_chemistry_exam_3,高中应试化学,selfStudy,chemistry,TRUE,science_chemistry_exam_3,10,高中应试化学,"pressure,116"
science_biology_2,初中生物,selfStudy,biology,TRUE,science_biology_2,10,初中生物,"pressure,117"
science_biology_3,高中生物,selfStudy,biology,TRUE,science_biology_3,10,高中生物,"pressure,118"
science_biology_olympus_2,初中生物竞赛,selfStudy,biology,TRUE,science_biology_olympus_2,10,初中生物竞赛,"pressure,119"
science_biology_olympus_3,高中生物竞赛,selfStudy,biology,TRUE,science_biology_olympus_3,10,高中生物竞赛,"pressure,120"
science_biology_exam_2,初中应试生物,selfStudy,biology,TRUE,science_biology_exam_2,10,初中应试生物,"pressure,121"
science_biology_exam_3,高中应试生物,selfStudy,biology,TRUE,science_biology_exam_3,10,高中应试生物,"pressure,122"
science_comprehensive_exam,理科综合考试,selfStudy,physics,TRUE,science_comprehensive_exam,10,理科综合考试,"pressure,123"
liberal_comprehensive_exam,文科综合考试,selfStudy,politics,TRUE,liberal_comprehensive_exam,10,文科综合考试,"pressure,124"
computer_science,计算机基础,selfStudy,computer,TRUE,computer_science,10,计算机基础,"pressure,125"
computer_typing,计算机打字,selfStudy,computer,TRUE,computer_typing,10,计算机打字,"pressure,126"
computer_word,Word基础,selfStudy,computer,TRUE,computer_word,10,Word基础,"pressure,127"
computer_excel,Excel基础,selfStudy,computer,TRUE,computer_excel,10,Excel基础,"pressure,128"
computer_ppt,PPT基础,selfStudy,computer,TRUE,computer_ppt,10,PPT基础,"pressure,129"
computer_language,计算机语言,selfStudy,computer,TRUE,computer_language,10,计算机语言,"pressure,130"
computer_programming,编程入门,selfStudy,computer,TRUE,computer_programming,10,编程入门,"pressure,131"
computer_algrithm,编程算法,selfStudy,computer,TRUE,computer_algrithm,10,编程算法,"pressure,132"
computer_system_design,计算机系统设计,selfStudy,computer,TRUE,computer_system_design,10,计算机系统设计,"pressure,133"
computer_oo_programming,面向对象编程,selfStudy,computer,TRUE,computer_oo_programming,10,面向对象编程,"pressure,134"
computer_big_data,大数据基础,selfStudy,computer,TRUE,computer_big_data,10,大数据基础,"pressure,135"
computer_ai,人工智能基础,selfStudy,computer,TRUE,computer_ai,10,人工智能基础,"pressure,136"
piano,钢琴,selfStudy,music,TRUE,piano,10,钢琴,"pressure,137"
piano_pro,钢琴专业级,selfStudy,music,TRUE,piano_pro,10,钢琴专业级,"pressure,138"
piano_master,钢琴演奏级,selfStudy,music,TRUE,piano_master,10,钢琴演奏级,"pressure,139"
music_theory_1,乐理1,selfStudy,music,TRUE,music_theory_1,10,乐理1,"pressure,140"
music_theory_2,乐理2,selfStudy,music,TRUE,music_theory_2,10,乐理2,"pressure,141"
music_theory_3,乐理3,selfStudy,music,TRUE,music_theory_3,10,乐理3,"pressure,142"
art_class,美术课,selfStudy,painting,TRUE,art_class,10,美术课,"pressure,143"
art_pencil,铅笔画,selfStudy,painting,TRUE,art_pencil,10,铅笔画,"pressure,144"
art_sketch,素描,selfStudy,painting,TRUE,art_sketch,10,素描,"pressure,145"
art_traditional_chinese_painting,国画,selfStudy,painting,TRUE,art_traditional_chinese_painting,10,国画,"pressure,146"
art_color,色彩,selfStudy,painting,TRUE,art_color,10,色彩,"pressure,147"
art_appreciation,艺术鉴赏,selfStudy,painting,TRUE,art_appreciation,10,艺术鉴赏,"pressure,148"
art_painting,油画,selfStudy,painting,TRUE,art_painting,10,油画,"pressure,149"
art_abstract_painting,抽象艺术,selfStudy,painting,TRUE,art_abstract_painting,10,抽象艺术,"pressure,150"
art_exam,艺术考试,selfStudy,painting,TRUE,art_exam,10,艺术考试,"pressure,151"
art_comic,漫画,selfStudy,painting,TRUE,art_comic,10,漫画,"pressure,152"
game_developer,游戏策划,selfStudy,game,TRUE,game_developer,10,游戏策划,"pressure,153"
game_culture,独立游戏文化,selfStudy,game,TRUE,game_culture,10,独立游戏文化,"pressure,154"
game_control,游戏项目管理,selfStudy,game,TRUE,game_control,10,游戏项目管理,"pressure,155"
game_company_operation,游戏公司运营,selfStudy,game,TRUE,game_company_operation,10,游戏公司运营,"pressure,156"
game_engine_design,游戏引擎架构,selfStudy,game,TRUE,game_engine_design,10,游戏引擎架构,"pressure,157"
game_art_design,游戏艺术设计,selfStudy,game,TRUE,game_art_design,10,游戏艺术设计,"pressure,158"
game_copywriting,游戏文案,selfStudy,game,TRUE,game_copywriting,10,游戏文案,"pressure,159"
game_music,游戏音乐,selfStudy,game,TRUE,game_music,10,游戏音乐,"pressure,160"
financial_management_1,基础理财,selfStudy,economy,TRUE,financial_management_1,10,基础理财,"pressure,161"
financial_management_2,财务管理,selfStudy,economy,TRUE,financial_management_2,10,财务管理,"pressure,162"
financial_accounting,会计与金融,selfStudy,economy,TRUE,financial_accounting,10,会计与金融,"pressure,163"
financial_engineering,金融工程,selfStudy,economy,TRUE,financial_engineering,10,金融工程,"pressure,164"
financial_quantitative,量化经济,selfStudy,economy,TRUE,financial_quantitative,10,量化经济,"pressure,165"
financial_value_investment,价值投资,selfStudy,economy,TRUE,financial_value_investment,10,价值投资,"pressure,166"
karate,空手道,selfStudy,exercise,TRUE,karate,10,空手道,"pressure,167"
swimming_contest,竞技游泳,selfStudy,exercise,TRUE,swimming,10,游泳,"pressure,169"
track_and_field,田径,selfStudy,exercise,TRUE,track_and_field,10,田径,"pressure,171"
badminton_contest,竞技羽毛球,selfStudy,exercise,TRUE,badminton,10,羽毛球,"pressure,173"
basketball_contest,竞技篮球,selfStudy,exercise,TRUE,basketball,10,篮球,"pressure,175"
play_basketball,打篮球,play,sport,TRUE,play_basketball,6,打篮球的说明,"pressure,-2;strength,2;charms,1"
swimming,游泳,play,sport,TRUE,swimming,6,游泳,"pressure,-2;strength,2;charms,2"
badminton,羽毛球,play,sport,TRUE,badminton,6,羽毛球,"pressure,-2;strength,2;charms,3"
pingpong,乒乓球,play,sport,TRUE,pingpong,6,乒乓球,"pressure,-2;strength,2;charms,3"
music_singing,唱歌,play,playmusic,TRUE,music_singing,6,唱歌,"pressure,-2;strength,2;charms,2"
play_yoyos,溜溜球,play,toy,TRUE,play_yoyos,6,溜溜球,"pressure,-2;strength,2;charms,3"
play_marbles,弹珠,play,toy,TRUE,play_marbles,9,弹珠,"pressure,-2;strength,2;charms,4"
play_paper_plane,折纸飞机,play,toy,TRUE,play_paper_plane,10,折纸飞机,"pressure,-2;strength,2;charms,5"
poke_run,扑克牌《斗地主》,play,boardgame,TRUE,poke_run,11,扑克牌《斗地主》,"pressure,-2;strength,2;charms,6"
poke_80,扑克牌 《拖拉机》,play,boardgame,TRUE,poke_80,12,扑克牌 《拖拉机》,"pressure,-2;strength,2;charms,7"
poke_24,扑克牌 《24点》,play,boardgame,TRUE,poke_24,13,扑克牌 《24点》,"pressure,-2;strength,2;charms,8"
poke_run_2,扑克牌《掼蛋》,play,boardgame,TRUE,poke_run_2,14,扑克牌《掼蛋》,"pressure,-2;strength,2;charms,9"
play_majiang,麻将,play,boardgame,TRUE,play_majiang,15,麻将,"pressure,-2;strength,2;charms,10"
play_go,围棋,play,boardgame,TRUE,play_go,16,围棋,"pressure,-2;strength,2;charms,11"
play_5_in_a_row,五子棋,play,boardgame,TRUE,play_5_in_a_row,17,五子棋,"pressure,-2;strength,2;charms,12"
play_chinese_chess,中国象棋,play,boardgame,TRUE,play_chinese_chess,18,中国象棋,"pressure,-2;strength,2;charms,13"
play_chess,国际象棋,play,boardgame,TRUE,play_chess,19,国际象棋,"pressure,-2;strength,2;charms,14"
play_military_chess,军棋,play,boardgame,TRUE,play_military_chess,20,军棋,"pressure,-2;strength,2;charms,15"
cartoon_shuke_beita,动画片《舒克贝塔》,play,cartton,TRUE,cartoon_shuke_beita,21,动画片《舒克贝塔》,"pressure,-2;strength,2;charms,16"
cartoon_huluwa,动画片《葫芦娃》,play,cartton,TRUE,cartoon_huluwa,22,动画片《葫芦娃》,"pressure,-2;strength,2;charms,17"
cartoon_dragon_ball,动画片《龙珠》,play,cartton,TRUE,cartoon_dragon_ball,23,动画片《龙珠》,"pressure,-2;strength,2;charms,18"
cartoon_detective_conan,动画片《名侦探柯南》,play,cartton,TRUE,cartoon_detective_conan,24,动画片《名侦探柯南》,"pressure,-2;strength,2;charms,19"
cartoon_slam_dunk,动画片《灌篮高手》,play,cartton,TRUE,cartoon_slam_dunk,25,动画片《灌篮高手》,"pressure,-2;strength,2;charms,20"
cartoon_saint_seiya,动画片《圣斗士星矢》,play,cartton,TRUE,cartoon_saint_seiya,26,动画片《圣斗士星矢》,"pressure,-2;strength,2;charms,21"
cartoon_one_piece,动画片《海贼王》,play,cartton,TRUE,cartoon_one_piece,27,动画片《海贼王》,"pressure,-2;strength,2;charms,22"
cartoon_naruto,动画片《火影忍者》,play,cartton,TRUE,cartoon_naruto,28,动画片《火影忍者》,"pressure,-2;strength,2;charms,23"
cartton_mashin_hero_wataru,动画片《神龙斗士》,play,cartton,TRUE,cartton_mashin_hero_wataru,29,动画片《神龙斗士》,"pressure,-2;strength,2;charms,24"
cartoon_captain_tsubasa,动画片《足球小将》,play,cartton,TRUE,cartoon_captain_tsubasa,30,动画片《足球小将》,"pressure,-2;strength,2;charms,25"
cartton_chibi_maruko_chan,动画片《樱桃小丸子》,play,cartton,TRUE,cartton_chibi_maruko_chan,31,动画片《樱桃小丸子》,"pressure,-2;strength,2;charms,26"
cartoon_doraemon,动画片《哆啦A梦》,play,cartton,TRUE,cartoon_doraemon,32,动画片《哆啦A梦》,"pressure,-2;strength,2;charms,27"
cartoon_ultraman,动画片《奥特曼》,play,cartton,TRUE,cartoon_ultraman,33,动画片《奥特曼》,"pressure,-2;strength,2;charms,28"
cartoon_death_note,动画片《死亡笔记》,play,cartton,TRUE,cartoon_death_note,34,动画片《死亡笔记》,"pressure,-2;strength,2;charms,29"
cartoon_fullmeta_alchemist,动画片《钢之炼金术师》,play,cartton,TRUE,cartoon_fullmeta_alchemist,35,动画片《钢之炼金术师》,"pressure,-2;strength,2;charms,30"
series_my_fair_princess,电视剧《还珠格格》,play,TV,TRUE,series_my_fair_princess,36,电视剧《还珠格格》,"pressure,-2;strength,2;charms,31"
series_pink_lady,电视剧《粉红女郎》,play,TV,TRUE,series_pink_lady,37,电视剧《粉红女郎》,"pressure,-2;strength,2;charms,32"
series_legend_condor_heroes,电视剧《射雕英雄传》,play,TV,TRUE,series_legend_condor_heroes,38,电视剧《射雕英雄传》,"pressure,-2;strength,2;charms,33"
series_return_of_condor_heroes,电视剧《神雕侠侣》,play,TV,TRUE,series_return_of_condor_heroes,39,电视剧《神雕侠侣》,"pressure,-2;strength,2;charms,34"
series_demi_gods_semi_devils,电视剧《天龙八部》,play,TV,TRUE,series_demi_gods_semi_devils,40,电视剧《天龙八部》,"pressure,-2;strength,2;charms,35"
series_heaven_sword_dragon_sabre,电视剧《倚天屠龙记》,play,TV,TRUE,series_heaven_sword_dragon_sabre,41,电视剧《倚天屠龙记》,"pressure,-2;strength,2;charms,36"
series_juedai_shuangjiao,电视剧《绝代双骄》,play,TV,TRUE,series_juedai_shuangjiao,42,电视剧《绝代双骄》,"pressure,-2;strength,2;charms,37"
series_prince_of_han_dynasty,电视剧《大汉天子》,play,TV,TRUE,series_prince_of_han_dynasty,43,电视剧《大汉天子》,"pressure,-2;strength,2;charms,38"
series_kangxi_dynasty,电视剧《康熙王朝》,play,TV,TRUE,series_kangxi_dynasty,44,电视剧《康熙王朝》,"pressure,-2;strength,2;charms,39"
series_sunny_piggy,电视剧《春光灿烂猪八戒》,play,TV,TRUE,series_sunny_piggy,45,电视剧《春光灿烂猪八戒》,"pressure,-2;strength,2;charms,40"
series_royal_swordsmen,电视剧《天下第一》,play,TV,TRUE,series_royal_swordsmen,46,电视剧《天下第一》,"pressure,-2;strength,2;charms,41"
series_wind_and_cloud,电视剧《风云雄霸天下》,play,TV,TRUE,series_wind_and_cloud,47,电视剧《风云雄霸天下》,"pressure,-2;strength,2;charms,42"
series_deer_cauldron,电视剧《鹿鼎记》,play,TV,TRUE,series_deer_cauldron,48,电视剧《鹿鼎记》,"pressure,-2;strength,2;charms,43"
series_my_own_swordsman,电视剧《武林外传》,play,TV,TRUE,series_my_own_swordsman,49,电视剧《武林外传》,"pressure,-2;strength,2;charms,44"
movie_chinese_odyssey,电影《大话西游》,play,movie,TRUE,movie_chinese_odyssey,50,电影《大话西游》,"pressure,-2;strength,2;charms,45"
movie_eagle_shooting_heroes,电影《东成西就》,play,movie,TRUE,movie_eagle_shooting_heroes,51,电影《东成西就》,"pressure,-2;strength,2;charms,46"
movie_lord_of_the_ring,电影《指环王》,play,movie,TRUE,movie_lord_of_the_ring,52,电影《指环王》,"pressure,-2;strength,2;charms,47"
movie_home_alone,电影《小鬼当家》,play,movie,TRUE,movie_home_alone,53,电影《小鬼当家》,"pressure,-2;strength,2;charms,48"
movie_lotus_lantern,电影《宝莲灯》,play,movie,TRUE,movie_lotus_lantern,54,电影《宝莲灯》,"pressure,-2;strength,2;charms,49"
movie_mulan,电影《花木兰》,play,movie,TRUE,movie_mulan,55,电影《花木兰》,"pressure,-2;strength,2;charms,50"
movie_titanic,电影《泰坦尼克号》,play,movie,TRUE,movie_titanic,56,电影《泰坦尼克号》,"pressure,-2;strength,2;charms,51"
movie_start_war,电影《星球大战》,play,movie,TRUE,movie_start_war,57,电影《星球大战》,"pressure,-2;strength,2;charms,52"
movie_superman,电影《超人》,play,movie,TRUE,movie_superman,58,电影《超人》,"pressure,-2;strength,2;charms,53"
album_jielun,周杰伦专辑,play,playmusic,TRUE,album_jielun,59,周杰伦专辑,"pressure,-2;strength,2;charms,54"
album_mayday,五月天专辑,play,playmusic,TRUE,album_mayday,60,五月天专辑,"pressure,-2;strength,2;charms,55"
album_beethoven,贝多芬交响乐,play,playmusic,TRUE,album_beethoven,61,贝多芬交响乐,"pressure,-2;strength,2;charms,56"
album_chopin,肖邦钢琴曲,play,playmusic,TRUE,album_chopin,62,肖邦钢琴曲,"pressure,-2;strength,2;charms,57"
album_mozart,莫扎特钢琴曲,play,playmusic,TRUE,album_mozart,63,莫扎特钢琴曲,"pressure,-2;strength,2;charms,58"
game_contra,小霸王游戏《魂斗罗》,play,videogame,TRUE,game_contra,64,小霸王游戏《魂斗罗》,"pressure,-2;strength,2;charms,59"
game_super_mario,小霸王游戏《超级玛丽》,play,videogame,TRUE,game_super_mario,65,小霸王游戏《超级玛丽》,"pressure,-2;strength,2;charms,60"
game_adventure,小霸王游戏《冒险岛》,play,videogame,TRUE,game_adventure,66,小霸王游戏《冒险岛》,"pressure,-2;strength,2;charms,61"
game_tetris,小霸王游戏《俄罗斯方块》,play,videogame,TRUE,game_tetris,67,小霸王游戏《俄罗斯方块》,"pressure,-2;strength,2;charms,62"
game_pokemon,GBA游戏《口袋妖怪》,play,videogame,TRUE,game_pokemon,68,GBA游戏《口袋妖怪》,"pressure,-2;strength,2;charms,63"
game_chinese_paladin,游戏《仙剑奇侠传》,play,computergame,TRUE,game_chinese_paladin,69,游戏《仙剑奇侠传》,"pressure,-2;strength,2;charms,64"
game_xuanyuan_sword,游戏《轩辕剑》,play,computergame,TRUE,game_xuanyuan_sword,70,游戏《轩辕剑》,"pressure,-2;strength,2;charms,65"
