2D,schooId,string,0,1,2,3,4,5
1995_1_24,尚未配置,,;,;,;,;,;,;
1995_1_25,尚未配置,,;,;,;,;,;,;
1995_1_26,尚未配置,,;,;,;,;,;,;
1995_1_27,尚未配置,,;,;,;,;,;,;
1995_1_28,尚未配置,,;,;,;,;,;,;
1995_1_29,尚未配置,,;,;,;,;,;,;
1995_1_30,尚未配置,,;,;,;,;,;,;
1995_1_31,尚未配置,,;,;,;,;,;,;
1995_2_1,尚未配置,,;,;,;,;,;,;
1995_2_2,尚未配置,,;,;,;,;,;,;
1995_2_3,尚未配置,,;,;,;,;,;,;
1995_2_4,尚未配置,,;,;,;,;,;,;
1995_2_5,尚未配置,,;,;,;,;,;,;
1995_2_6,尚未配置,,;,;,;,;,;,;
1995_2_7,尚未配置,,;,;,;,;,;,;
1995_2_8,尚未配置,,;,;,;,;,;,;
1995_2_9,尚未配置,,;,;,;,;,;,;
1995_2_10,尚未配置,,;,;,;,;,;,;
1995_2_11,尚未配置,,;,;,;,;,;,;
1995_2_12,尚未配置,,;,;,;,;,;,;
1995_2_13,尚未配置,,;,;,;,;,;,;
1995_2_14,尚未配置,,;,;,;,;,;,;
1995_2_15,尚未配置,,;,;,;,;,;,;
1995_2_16,尚未配置,,;,;,;,;,;,;
1995_2_17,尚未配置,,;,;,;,;,;,;
1995_2_18,尚未配置,,;,;,;,;,;,;
1995_2_19,尚未配置,,;,;,;,;,;,;
1995_2_20,尚未配置,,;,;,;,;,;,;
1995_2_21,尚未配置,,;,;,;,;,;,;
1995_2_22,尚未配置,,;,;,;,;,;,;
1995_2_23,尚未配置,,;,;,;,;,;,;
1995_2_24,尚未配置,,;,;,;,;,;,;
1995_2_25,尚未配置,,;,;,;,;,;,;
1995_2_26,尚未配置,,;,;,;,;,;,;
1995_2_27,尚未配置,,;,;,;,;,;,;
1995_2_28,尚未配置,,;,;,;,;,;,;
1995_3_1,尚未配置,,;,;,;,;,;,;
1995_3_2,尚未配置,,;,;,;,;,;,;
1995_3_3,尚未配置,,;,;,;,;,;,;
1995_3_4,尚未配置,,;,;,;,;,;,;
1995_3_5,尚未配置,,;,;,;,;,;,;
1995_3_6,尚未配置,,;,;,;,;,;,;
1995_3_7,尚未配置,,;,;,;,;,;,;
1995_3_8,尚未配置,,;,;,;,;,;,;
1995_3_9,尚未配置,,;,;,;,;,;,;
1995_3_10,尚未配置,,;,;,;,;,;,;
1995_3_11,尚未配置,,;,;,;,;,;,;
1995_3_12,尚未配置,,;,;,;,;,;,;
1995_3_13,尚未配置,,;,;,;,;,;,;
1995_3_14,尚未配置,,;,;,;,;,;,;
1995_3_15,尚未配置,,;,;,;,;,;,;
1995_3_16,尚未配置,,;,;,;,;,;,;
1995_3_17,尚未配置,,;,;,;,;,;,;
1995_3_18,尚未配置,,;,;,;,;,;,;
1995_3_19,尚未配置,,;,;,;,;,;,;
1995_3_20,尚未配置,,;,;,;,;,;,;
1995_3_21,尚未配置,,;,;,;,;,;,;
1995_3_22,尚未配置,,;,;,;,;,;,;
1995_3_23,尚未配置,,;,;,;,;,;,;
1995_3_24,尚未配置,,;,;,;,;,;,;
1995_3_25,尚未配置,,;,;,;,;,;,;
1995_3_26,尚未配置,,;,;,;,;,;,;
1995_3_27,尚未配置,,;,;,;,;,;,;
1995_3_28,尚未配置,,;,;,;,;,;,;
1995_3_29,尚未配置,,;,;,;,;,;,;
1995_3_30,尚未配置,,;,;,;,;,;,;
1995_3_31,尚未配置,,;,;,;,;,;,;
1995_4_1,尚未配置,,;,;,;,;,;,;
1995_4_2,尚未配置,,;,;,;,;,;,;
1995_4_3,尚未配置,,;,;,;,;,;,;
1995_4_4,尚未配置,,;,;,;,;,;,;
1995_4_5,尚未配置,,;,;,;,;,;,;
1995_4_6,尚未配置,,;,;,;,;,;,;
1995_4_7,尚未配置,,;,;,;,;,;,;
1995_4_8,尚未配置,,;,;,;,;,;,;
1995_4_9,尚未配置,,;,;,;,;,;,;
1995_4_10,尚未配置,,;,;,;,;,;,;
1995_4_11,尚未配置,,;,;,;,;,;,;
1995_4_12,尚未配置,,;,;,;,;,;,;
1995_4_13,尚未配置,,;,;,;,;,;,;
1995_4_14,尚未配置,,;,;,;,;,;,;
1995_4_15,尚未配置,,;,;,;,;,;,;
1995_4_16,尚未配置,,;,;,;,;,;,;
1995_4_17,尚未配置,,;,;,;,;,;,;
1995_4_18,尚未配置,,;,;,;,;,;,;
1995_4_19,尚未配置,,;,;,;,;,;,;
1995_4_20,尚未配置,,;,;,;,;,;,;
1995_4_21,尚未配置,,;,;,;,;,;,;
1995_4_22,尚未配置,,;,;,;,;,;,;
1995_4_23,尚未配置,,;,;,;,;,;,;
1995_4_24,尚未配置,,;,;,;,;,;,;
1995_4_25,尚未配置,,;,;,;,;,;,;
1995_4_26,尚未配置,,;,;,;,;,;,;
1995_4_27,尚未配置,,;,;,;,;,;,;
1995_4_28,尚未配置,,;,;,;,;,;,;
1995_4_29,尚未配置,,;,;,;,;,;,;
1995_4_30,尚未配置,,;,;,;,;,;,;
1995_5_1,尚未配置,,;,;,;,;,;,;
1995_5_2,尚未配置,,;,;,;,;,;,;
1995_5_3,尚未配置,,;,;,;,;,;,;
1995_5_4,尚未配置,,;,;,;,;,;,;
1995_5_5,尚未配置,,;,;,;,;,;,;
1995_5_6,尚未配置,,;,;,;,;,;,;
1995_5_7,尚未配置,,;,;,;,;,;,;
1995_5_8,尚未配置,,;,;,;,;,;,;
1995_5_9,尚未配置,,;,;,;,;,;,;
1995_5_10,尚未配置,,;,;,;,;,;,;
1995_5_11,尚未配置,,;,;,;,;,;,;
1995_5_12,尚未配置,,;,;,;,;,;,;
1995_5_13,尚未配置,,;,;,;,;,;,;
1995_5_14,尚未配置,,;,;,;,;,;,;
1995_5_15,尚未配置,,;,;,;,;,;,;
1995_5_16,尚未配置,,;,;,;,;,;,;
1995_5_17,尚未配置,,;,;,;,;,;,;
1995_5_18,尚未配置,,;,;,;,;,;,;
1995_5_19,尚未配置,,;,;,;,;,;,;
1995_5_20,尚未配置,,;,;,;,;,;,;
1995_5_21,尚未配置,,;,;,;,;,;,;
1995_5_22,尚未配置,,;,;,;,;,;,;
1995_5_23,尚未配置,,;,;,;,;,;,;
1995_5_24,尚未配置,,;,;,;,;,;,;
1995_5_25,尚未配置,,;,;,;,;,;,;
1995_5_26,尚未配置,,;,;,;,;,;,;
1995_5_27,尚未配置,,;,;,;,;,;,;
1995_5_28,尚未配置,,;,;,;,;,;,;
1995_5_29,尚未配置,,;,;,;,;,;,;
1995_5_30,尚未配置,,;,;,;,;,;,;
1995_5_31,尚未配置,,;,;,;,;,;,;
1995_6_1,尚未配置,,;,;,;,;,;,;
1995_6_2,尚未配置,,;,;,;,;,;,;
1995_6_3,尚未配置,,;,;,;,;,;,;
1995_6_4,尚未配置,,;,;,;,;,;,;
1995_6_5,尚未配置,,;,;,;,;,;,;
1995_6_6,尚未配置,,;,;,;,;,;,;
1995_6_7,尚未配置,,;,;,;,;,;,;
1995_6_8,尚未配置,,;,;,;,;,;,;
1995_6_9,尚未配置,,;,;,;,;,;,;
1995_6_10,尚未配置,,;,;,;,;,;,;
1995_6_11,尚未配置,,;,;,;,;,;,;
1995_6_12,尚未配置,,;,;,;,;,;,;
1995_6_13,尚未配置,,;,;,;,;,;,;
1995_6_14,尚未配置,,;,;,;,;,;,;
1995_6_15,尚未配置,,;,;,;,;,;,;
1995_6_16,尚未配置,,;,;,;,;,;,;
1995_6_17,尚未配置,,;,;,;,;,;,;
1995_6_18,尚未配置,,;,;,;,;,;,;
1995_6_19,尚未配置,,;,;,;,;,;,;
1995_6_20,尚未配置,,;,;,;,;,;,;
1995_6_21,尚未配置,,;,;,;,;,;,;
1995_6_22,尚未配置,,;,;,;,;,;,;
1995_6_23,尚未配置,,;,;,;,;,;,;
1995_6_24,尚未配置,,;,;,;,;,;,;
1995_6_25,尚未配置,,;,;,;,;,;,;
1995_6_26,尚未配置,,;,;,;,;,;,;
1995_6_27,尚未配置,,;,;,;,;,;,;
1995_6_28,尚未配置,,;,;,;,;,;,;
1995_6_29,尚未配置,,;,;,;,;,;,;
1995_6_30,尚未配置,,;,;,;,;,;,;
1995_7_1,尚未配置,,;,;,;,;,;,;
1995_7_2,尚未配置,,;,;,;,;,;,;
1995_7_3,尚未配置,,;,;,;,;,;,;
1995_7_4,尚未配置,,;,;,;,;,;,;
1995_7_5,尚未配置,,;,;,;,;,;,;
1995_7_6,尚未配置,,;,;,;,;,;,;
1995_7_7,尚未配置,,;,;,;,;,;,;
1995_7_8,尚未配置,,;,;,;,;,;,;
1995_7_9,尚未配置,,;,;,;,;,;,;
1995_7_10,尚未配置,,;,;,;,;,;,;
1995_7_11,尚未配置,,;,;,;,;,;,;
1995_7_12,尚未配置,,;,;,;,;,;,;
1995_7_13,尚未配置,,;,;,;,;,;,;
1995_7_14,尚未配置,,;,;,;,;,;,;
1995_7_15,尚未配置,,;,;,;,;,;,;
1995_7_16,尚未配置,,;,;,;,;,;,;
1995_7_17,尚未配置,,;,;,;,;,;,;
1995_7_18,尚未配置,,;,;,;,;,;,;
1995_7_19,尚未配置,,;,;,;,;,;,;
1995_7_20,尚未配置,,;,;,;,;,;,;
1995_7_21,尚未配置,,;,;,;,;,;,;
1995_7_22,尚未配置,,;,;,;,;,;,;
1995_7_23,尚未配置,,;,;,;,;,;,;
1995_7_24,尚未配置,,;,;,;,;,;,;
1995_7_25,尚未配置,,;,;,;,;,;,;
1995_7_26,尚未配置,,;,;,;,;,;,;
1995_7_27,尚未配置,,;,;,;,;,;,;
1995_7_28,尚未配置,,;,;,;,;,;,;
1995_7_29,尚未配置,,;,;,;,;,;,;
1995_7_30,尚未配置,,;,;,;,;,;,;
1995_7_31,尚未配置,,;,;,;,;,;,;
1995_8_1,尚未配置,,;,;,;,;,;,;
1995_8_2,尚未配置,,;,;,;,;,;,;
1995_8_3,尚未配置,,;,;,;,;,;,;
1995_8_4,尚未配置,,;,;,;,;,;,;
1995_8_5,尚未配置,,;,;,;,;,;,;
1995_8_6,尚未配置,,;,;,;,;,;,;
1995_8_7,尚未配置,,;,;,;,;,;,;
1995_8_8,尚未配置,,;,;,;,;,;,;
1995_8_9,尚未配置,,;,;,;,;,;,;
1995_8_10,尚未配置,,;,;,;,;,;,;
1995_8_11,尚未配置,,;,;,;,;,;,;
1995_8_12,尚未配置,,;,;,;,;,;,;
1995_8_13,尚未配置,,;,;,;,;,;,;
1995_8_14,尚未配置,,;,;,;,;,;,;
1995_8_15,尚未配置,,;,;,;,;,;,;
1995_8_16,尚未配置,,;,;,;,;,;,;
1995_8_17,尚未配置,,;,;,;,;,;,;
1995_8_18,尚未配置,,;,;,;,;,;,;
1995_8_19,尚未配置,,;,;,;,;,;,;
1995_8_20,尚未配置,,;,;,;,;,;,;
1995_8_21,尚未配置,,;,;,;,;,;,;
1995_8_22,尚未配置,,;,;,;,;,;,;
1995_8_23,尚未配置,,;,;,;,;,;,;
1995_8_24,尚未配置,,;,;,;,;,;,;
1995_8_25,尚未配置,,;,;,;,;,;,;
1995_8_26,尚未配置,,;,;,;,;,;,;
1995_8_27,尚未配置,,;,;,;,;,;,;
1995_8_28,尚未配置,,;,;,;,;,;,;
1995_8_29,尚未配置,,;,;,;,;,;,;
1995_8_30,尚未配置,,;,;,;,;,;,;
1995_8_31,尚未配置,,;,;,;,;,;,;
1995_9_1,尚未配置,,;,;,;,;,;,;
1995_9_2,尚未配置,,;,;,;,;,;,;
1995_9_3,尚未配置,,;,;,;,;,;,;
1995_9_4,尚未配置,,;,;,;,;,;,;
1995_9_5,尚未配置,,;,;,;,;,;,;
1995_9_6,尚未配置,,;,;,;,;,;,;
1995_9_7,尚未配置,,;,;,;,;,;,;
1995_9_8,尚未配置,,;,;,;,;,;,;
1995_9_9,尚未配置,,;,;,;,;,;,;
1995_9_10,尚未配置,,;,;,;,;,;,;
1995_9_11,尚未配置,,;,;,;,;,;,;
1995_9_12,尚未配置,,;,;,;,;,;,;
1995_9_13,尚未配置,,;,;,;,;,;,;
1995_9_14,尚未配置,,;,;,;,;,;,;
1995_9_15,尚未配置,,;,;,;,;,;,;
1995_9_16,尚未配置,,;,;,;,;,;,;
1995_9_17,尚未配置,,;,;,;,;,;,;
1995_9_18,尚未配置,,;,;,;,;,;,;
1995_9_19,尚未配置,,;,;,;,;,;,;
1995_9_20,尚未配置,,;,;,;,;,;,;
1995_9_21,尚未配置,,;,;,;,;,;,;
1995_9_22,尚未配置,,;,;,;,;,;,;
1995_9_23,尚未配置,,;,;,;,;,;,;
1995_9_24,尚未配置,,;,;,;,;,;,;
1995_9_25,尚未配置,,;,;,;,;,;,;
1995_9_26,尚未配置,,;,;,;,;,;,;
1995_9_27,尚未配置,,;,;,;,;,;,;
1995_9_28,尚未配置,,;,;,;,;,;,;
1995_9_29,尚未配置,,;,;,;,;,;,;
1995_9_30,尚未配置,,;,;,;,;,;,;
1995_10_1,尚未配置,,;,;,;,;,;,;
1995_10_2,尚未配置,,;,;,;,;,;,;
1995_10_3,尚未配置,,;,;,;,;,;,;
1995_10_4,尚未配置,,;,;,;,;,;,;
1995_10_5,尚未配置,,;,;,;,;,;,;
1995_10_6,尚未配置,,;,;,;,;,;,;
1995_10_7,尚未配置,,;,;,;,;,;,;
1995_10_8,尚未配置,,;,;,;,;,;,;
1995_10_9,尚未配置,,;,;,;,;,;,;
1995_10_10,尚未配置,,;,;,;,;,;,;
1995_10_11,尚未配置,,;,;,;,;,;,;
1995_10_12,尚未配置,,;,;,;,;,;,;
1995_10_13,尚未配置,,;,;,;,;,;,;
1995_10_14,尚未配置,,;,;,;,;,;,;
1995_10_15,尚未配置,,;,;,;,;,;,;
1995_10_16,尚未配置,,;,;,;,;,;,;
1995_10_17,尚未配置,,;,;,;,;,;,;
1995_10_18,尚未配置,,;,;,;,;,;,;
1995_10_19,尚未配置,,;,;,;,;,;,;
1995_10_20,尚未配置,,;,;,;,;,;,;
1995_10_21,尚未配置,,;,;,;,;,;,;
1995_10_22,尚未配置,,;,;,;,;,;,;
1995_10_23,尚未配置,,;,;,;,;,;,;
1995_10_24,尚未配置,,;,;,;,;,;,;
1995_10_25,尚未配置,,;,;,;,;,;,;
1995_10_26,尚未配置,,;,;,;,;,;,;
1995_10_27,尚未配置,,;,;,;,;,;,;
1995_10_28,尚未配置,,;,;,;,;,;,;
1995_10_29,尚未配置,,;,;,;,;,;,;
1995_10_30,尚未配置,,;,;,;,;,;,;
1995_10_31,尚未配置,,;,;,;,;,;,;
1995_11_1,尚未配置,,;,;,;,;,;,;
1995_11_2,尚未配置,,;,;,;,;,;,;
1995_11_3,尚未配置,,;,;,;,;,;,;
1995_11_4,尚未配置,,;,;,;,;,;,;
1995_11_5,尚未配置,,;,;,;,;,;,;
1995_11_6,尚未配置,,;,;,;,;,;,;
1995_11_7,尚未配置,,;,;,;,;,;,;
1995_11_8,尚未配置,,;,;,;,;,;,;
1995_11_9,尚未配置,,;,;,;,;,;,;
1995_11_10,尚未配置,,;,;,;,;,;,;
1995_11_11,尚未配置,,;,;,;,;,;,;
1995_11_12,尚未配置,,;,;,;,;,;,;
1995_11_13,尚未配置,,;,;,;,;,;,;
1995_11_14,尚未配置,,;,;,;,;,;,;
1995_11_15,尚未配置,,;,;,;,;,;,;
1995_11_16,尚未配置,,;,;,;,;,;,;
1995_11_17,尚未配置,,;,;,;,;,;,;
1995_11_18,尚未配置,,;,;,;,;,;,;
1995_11_19,尚未配置,,;,;,;,;,;,;
1995_11_20,尚未配置,,;,;,;,;,;,;
1995_11_21,尚未配置,,;,;,;,;,;,;
1995_11_22,尚未配置,,;,;,;,;,;,;
1995_11_23,尚未配置,,;,;,;,;,;,;
1995_11_24,尚未配置,,;,;,;,;,;,;
1995_11_25,尚未配置,,;,;,;,;,;,;
1995_11_26,尚未配置,,;,;,;,;,;,;
1995_11_27,尚未配置,,;,;,;,;,;,;
1995_11_28,尚未配置,,;,;,;,;,;,;
1995_11_29,尚未配置,,;,;,;,;,;,;
1995_11_30,尚未配置,,;,;,;,;,;,;
1995_12_1,尚未配置,,;,;,;,;,;,;
1995_12_2,尚未配置,,;,;,;,;,;,;
1995_12_3,尚未配置,,;,;,;,;,;,;
1995_12_4,尚未配置,,;,;,;,;,;,;
1995_12_5,尚未配置,,;,;,;,;,;,;
1995_12_6,尚未配置,,;,;,;,;,;,;
1995_12_7,尚未配置,,;,;,;,;,;,;
1995_12_8,尚未配置,,;,;,;,;,;,;
1995_12_9,尚未配置,,;,;,;,;,;,;
1995_12_10,尚未配置,,;,;,;,;,;,;
1995_12_11,尚未配置,,;,;,;,;,;,;
1995_12_12,尚未配置,,;,;,;,;,;,;
1995_12_13,尚未配置,,;,;,;,;,;,;
1995_12_14,尚未配置,,;,;,;,;,;,;
1995_12_15,尚未配置,,;,;,;,;,;,;
1995_12_16,尚未配置,,;,;,;,;,;,;
1995_12_17,尚未配置,,;,;,;,;,;,;
1995_12_18,尚未配置,,;,;,;,;,;,;
1995_12_19,尚未配置,,;,;,;,;,;,;
1995_12_20,尚未配置,,;,;,;,;,;,;
1995_12_21,尚未配置,,;,;,;,;,;,;
1995_12_22,尚未配置,,;,;,;,;,;,;
1995_12_23,尚未配置,,;,;,;,;,;,;
1995_12_24,尚未配置,,;,;,;,;,;,;
1995_12_25,尚未配置,,;,;,;,;,;,;
1995_12_26,尚未配置,,;,;,;,;,;,;
1995_12_27,尚未配置,,;,;,;,;,;,;
1995_12_28,尚未配置,,;,;,;,;,;,;
1995_12_29,尚未配置,,;,;,;,;,;,;
1995_12_30,尚未配置,,;,;,;,;,;,;
1995_12_31,尚未配置,,;,;,;,;,;,;
1996_1_1,尚未配置,,;,;,;,;,;,;
1996_1_2,尚未配置,,;,;,;,;,;,;
1996_1_3,尚未配置,,;,;,;,;,;,;
1996_1_4,尚未配置,,;,;,;,;,;,;
1996_1_5,尚未配置,,;,;,;,;,;,;
1996_1_6,尚未配置,,;,;,;,;,;,;
1996_1_7,尚未配置,,;,;,;,;,;,;
1996_1_8,尚未配置,,;,;,;,;,;,;
1996_1_9,尚未配置,,;,;,;,;,;,;
1996_1_10,尚未配置,,;,;,;,;,;,;
1996_1_11,尚未配置,,;,;,;,;,;,;
1996_1_12,尚未配置,,;,;,;,;,;,;
1996_1_13,尚未配置,,;,;,;,;,;,;
1996_1_14,尚未配置,,;,;,;,;,;,;
1996_1_15,尚未配置,,;,;,;,;,;,;
1996_1_16,尚未配置,,;,;,;,;,;,;
1996_1_17,尚未配置,,;,;,;,;,;,;
1996_1_18,尚未配置,,;,;,;,;,;,;
1996_1_19,尚未配置,,;,;,;,;,;,;
1996_1_20,尚未配置,,;,;,;,;,;,;
1996_1_21,尚未配置,,;,;,;,;,;,;
1996_1_22,尚未配置,,;,;,;,;,;,;
1996_1_23,尚未配置,,;,;,;,;,;,;
1996_1_24,尚未配置,,;,;,;,;,;,;
1996_1_25,尚未配置,,;,;,;,;,;,;
1996_1_26,尚未配置,,;,;,;,;,;,;
1996_1_27,尚未配置,,;,;,;,;,;,;
1996_1_28,尚未配置,,;,;,;,;,;,;
1996_1_29,尚未配置,,;,;,;,;,;,;
1996_1_30,尚未配置,,;,;,;,;,;,;
1996_1_31,尚未配置,,;,;,;,;,;,;
1996_2_1,尚未配置,,;,;,;,;,;,;
1996_2_2,尚未配置,,;,;,;,;,;,;
1996_2_3,尚未配置,,;,;,;,;,;,;
1996_2_4,尚未配置,,;,;,;,;,;,;
1996_2_5,尚未配置,,;,;,;,;,;,;
1996_2_6,尚未配置,,;,;,;,;,;,;
1996_2_7,尚未配置,,;,;,;,;,;,;
1996_2_8,尚未配置,,;,;,;,;,;,;
1996_2_9,尚未配置,,;,;,;,;,;,;
1996_2_10,尚未配置,,;,;,;,;,;,;
1996_2_11,尚未配置,,;,;,;,;,;,;
1996_2_12,尚未配置,,;,;,;,;,;,;
