2D,goodsCategoryId,int,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
82,汉杰鲁马辰,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
83,马加撒,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
84,泗水,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
85,沂州,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
86,朋沙科拉,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
87,阿布哈兹,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
88,雷利史塔特,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
89,淡水,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
90,圣马罗,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
91,拿坡里,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
92,班加西,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
93,马纳多,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
94,釜山,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
95,江户,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
96,卡拉卡斯,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
97,硝石,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
98,硫磺,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
99,煤,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,木材,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
101,皮草,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
102,蜡,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
103,糖胶,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
104,鸟粪石,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
